,871f90252ffffff,871f90254ffffff,871f9025affffff,871f902e9ffffff,871f902ecffffff,871f915b4ffffff,871f915b5ffffff,871f915b6ffffff,871f90203ffffff,871f90208ffffff,871f90209ffffff,871f9020affffff,871f9020bffffff,871f9020cffffff,871f9020dffffff,871f9020effffff,871f90219ffffff,871f90250ffffff,871f90255ffffff,871f90256ffffff,871f90272ffffff,871f90276ffffff,871f902c4ffffff,871f902c5ffffff,871f902d2ffffff,871f902e0ffffff,871f902e1ffffff,871f902e2ffffff,871f902e3ffffff,871f902e4ffffff,871f902e5ffffff,871f902e6ffffff,871f902eeffffff,871f902f5ffffff,871f90200ffffff,871f90204ffffff,871f90205ffffff,871f902f3ffffff,871f90251ffffff,871f90253ffffff,871f9025cffffff,871f9025dffffff,871f90271ffffff,871f90273ffffff,871f902d0ffffff,871f902d6ffffff,871f93925ffffff,871f90228ffffff,871f9022cffffff,871f9022effffff,871f902c0ffffff,871f9021dffffff,871f9022bffffff,871f90242ffffff,871f9024affffff,871f90258ffffff,871f9025effffff,871f90275ffffff,871f902e8ffffff,871f902edffffff,871f90346ffffff,871f9024cffffff,871f90240ffffff,871f90243ffffff,871f90246ffffff,871f902ccffffff,871f902ebffffff,871f915b2ffffff,871f90229ffffff,871f9022affffff,871f90249ffffff,871f90241ffffff,871f90248ffffff,871f9024bffffff,871f9025bffffff,871f915a4ffffff,871f93924ffffff,871f9024effffff,871f90352ffffff,871f90221ffffff,871f90223ffffff,871f90344ffffff,871f90262ffffff,871f90270ffffff,871f9035bffffff,871f90201ffffff,871f9392cffffff,871f90202ffffff,871f90244ffffff,871f902c6ffffff,871f902cdffffff,871f9035dffffff,871f90274ffffff,871f90358ffffff,871f915b0ffffff,871f90263ffffff,871f90343ffffff,871f9034affffff,871f90259ffffff,871f902f1ffffff,871f90350ffffff,871f902c2ffffff,871f90342ffffff,871f9034effffff,871f90264ffffff,871f9035effffff,871f90266ffffff,871f902eaffffff,871f90359ffffff,871f9035affffff,871f9022dffffff,871f902d5ffffff,871f9035cffffff
871f915b5ffffff,4,7,4,7,6,4,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902e4ffffff,10,44,0,0,6,0,0,5,4,12,40,19,44,4,9,7,14,11,8,37,7,4,4,4,5,61,4,12,11,158,24,20,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902e5ffffff,59,97,0,8,16,5,0,5,0,9,57,0,85,4,17,7,0,41,19,150,11,0,0,4,0,22,21,0,0,23,272,6,10,7,0,0,0,0,13,13,8,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9020bffffff,43,122,0,5,16,4,0,9,0,49,200,27,402,15,38,14,4,30,27,136,19,6,0,0,0,18,8,6,8,45,71,0,9,14,0,0,0,0,15,13,6,4,6,7,0,0,4,11,5,0,4,4,8,8,6,4,4,4,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902ecffffff,98,50,10,23,235,14,0,25,0,6,42,0,11,0,12,0,0,43,21,51,12,0,0,9,0,7,55,0,5,7,19,5,59,5,0,0,0,0,22,34,9,6,0,8,0,0,0,0,0,0,0,0,0,9,0,0,12,0,47,33,0,0,6,5,4,13,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9022bffffff,4,16,0,0,0,0,0,0,4,16,13,0,13,20,45,6,0,5,0,6,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,27,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9025affffff,8,5,76,19,13,19,4,19,0,0,7,0,6,0,4,0,0,6,8,4,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,10,7,11,14,0,0,0,0,0,0,0,0,0,0,0,4,6,4,25,0,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90246ffffff,4,20,0,0,7,0,0,5,0,0,4,0,0,0,0,0,0,6,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,10,0,53,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90273ffffff,6,120,0,0,4,0,0,0,0,0,26,0,12,4,9,0,0,12,51,20,41,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,7,0,0,15,180,0,0,0,0,0,0,0,0,0,9,6,0,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90209ffffff,57,312,0,6,46,0,0,4,8,94,979,16,191,19,133,20,0,108,97,288,132,16,0,0,4,13,14,0,0,37,40,7,15,5,0,0,7,0,46,34,23,12,12,21,0,0,0,6,4,0,4,0,11,9,10,6,9,8,13,7,0,0,0,0,0,4,0,0,4,6,4,0,0,4,0,0,0,0,0,0,0,0,0,30,0,5,0,4,10,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90270ffffff,4,37,0,0,4,0,0,0,0,6,27,0,0,0,21,0,0,11,13,8,51,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,32,26,0,0,0,0,0,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,108,8,0,0,0,10,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f915b4ffffff,8,5,24,26,14,85,9,28,0,0,6,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,12,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90272ffffff,9,141,0,0,7,0,0,0,0,14,124,4,20,10,58,6,0,24,30,44,293,18,0,4,0,0,0,0,0,6,16,0,0,0,0,0,4,0,17,8,8,4,14,32,0,0,0,0,0,0,0,0,0,7,4,0,6,13,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,47,6,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9025effffff,14,24,18,17,13,12,0,12,0,0,13,0,10,0,0,0,0,26,17,16,4,0,0,0,0,4,9,0,0,0,6,0,6,0,0,0,0,0,61,43,47,22,0,0,0,0,0,0,0,0,0,0,0,28,10,9,154,0,7,40,0,0,10,11,4,0,5,0,0,0,0,0,0,6,6,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90271ffffff,4,36,0,4,0,0,0,0,0,0,8,0,6,0,6,0,0,6,9,5,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,75,15,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,5,0,0,0,36,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902eeffffff,26,13,0,8,67,4,0,14,0,0,11,0,8,0,0,0,0,14,0,8,0,0,0,16,0,7,40,0,0,4,6,0,123,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,36,13,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9020dffffff,15,102,0,0,19,0,0,0,10,68,156,6,33,31,352,15,0,28,23,69,56,49,0,0,0,4,5,0,0,6,13,0,0,0,0,0,5,0,15,7,5,7,4,7,0,0,0,27,5,0,0,0,51,0,6,0,5,0,0,0,4,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,4,17,9,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902e1ffffff,49,23,0,4,46,0,0,8,0,0,13,0,6,0,6,0,0,12,12,23,0,0,0,8,0,9,106,0,11,9,24,0,50,5,0,0,0,0,16,13,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,11,0,9,11,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90256ffffff,162,397,10,13,56,0,0,5,7,40,324,8,154,14,63,10,0,162,69,702,45,9,0,7,0,23,30,6,8,32,146,10,11,4,0,4,5,0,28,32,18,12,0,21,0,0,0,7,4,0,0,0,11,15,11,0,16,0,14,20,0,0,5,5,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
